,item_type,ingredient
6611,SKU#:5081978,m-Inositol
8795,SKU#:5081978,Cupric Sulfate
12227,SKU#:5081978,Cyanocobalamin
9419,SKU#:5081978,Vitamin A Palmitate
4115,SKU#:5081978,Salt
10667,SKU#:5081978,Potassium Iodide
6299,SKU#:5081978,Ascorbyl Palmitate
3491,SKU#:5081978,Calcium Phosphate
4427,SKU#:5081978,Magnesium Chloride
5051,SKU#:5081978,Ascorbic Acid
1307,SKU#:5081978,Soy Oil (8%)
11603,SKU#:5081978,Sodium Selenate
11915,SKU#:5081978,Vitamin D3
10043,SKU#:5081978,Pyridoxine Hydrochloride
4739,SKU#:5081978,L-Methionine
5987,SKU#:5081978,Ferrous Sulfate
5675,SKU#:5081978,Taurine
7547,SKU#:5081978,Mixed Tocopherols
6923,SKU#:5081978,Zinc Sulfate
8483,SKU#:5081978,Calcium Pantothenate
10979,SKU#:5081978,Phylloquinone
2555,SKU#:5081978,Lutein
7235,SKU#:5081978,L-Carnitine
11291,SKU#:5081978,Biotin
5363,SKU#:5081978,Choline Chloride
995,SKU#:5081978,Sugar (10%)
7859,SKU#:5081978,Niacinamide
9731,SKU#:5081978,Riboflavin
1931,SKU#:5081978,M Alpina Oil
59,SKU#:5081978,Corn Syrup Solids (39%)
10355,SKU#:5081978,Folic Acid
683,SKU#:5081978,High Oleic Safflower Oil (11%)
9107,SKU#:5081978,Thiamine Chloride Hydrochloride
3179,SKU#:5081978,Fructooligosaccharides
3803,SKU#:5081978,Potassium Citrate
2867,SKU#:5081978,Lycopene
12851,SKU#:5081978,Potassium Hydroxide
12539,SKU#:5081978,Potassium Chloride
1619,SKU#:5081978,Coconut Oil (8%) Less than 2% of: C Cohnii Oil
8171,SKU#:5081978,d-Alpha-Tocopheryl Acetate
10653,SKU#:5081978e,Potassium Iodide
8781,SKU#:5081978e,Cupric Sulfate
5661,SKU#:5081978e,Taurine
981,SKU#:5081978e,Sugar (10%)
8469,SKU#:5081978e,Calcium Pantothenate
8157,SKU#:5081978e,d-Alpha-Tocopheryl Acetate
3477,SKU#:5081978e,Calcium Phosphate
11277,SKU#:5081978e,Biotin
1293,SKU#:5081978e,Soy Oil (8%)
3165,SKU#:5081978e,Fructooligosaccharides
7221,SKU#:5081978e,L-Carnitine
12837,SKU#:5081978e,Potassium Hydroxide
2229,SKU#:5081978e,Beta-Carotene
7845,SKU#:5081978e,Niacinamide
11901,SKU#:5081978e,Vitamin D3
9405,SKU#:5081978e,Vitamin A Palmitate
45,SKU#:5081978e,Corn Syrup Solids (39%)
4413,SKU#:5081978e,Magnesium Chloride
6597,SKU#:5081978e,m-Inositol
9717,SKU#:5081978e,Riboflavin
10341,SKU#:5081978e,Folic Acid
357,SKU#:5081978e,Soy Protein Isolate (14%)
1605,SKU#:5081978e,Coconut Oil (8%) Less than 2% of: C Cohnii Oil
10029,SKU#:5081978e,Pyridoxine Hydrochloride
9093,SKU#:5081978e,Thiamine Chloride Hydrochloride
11589,SKU#:5081978e,Sodium Selenate
1917,SKU#:5081978e,M Alpina Oil
6909,SKU#:5081978e,Zinc Sulfate
7533,SKU#:5081978e,Mixed Tocopherols
2853,SKU#:5081978e,Lycopene
3789,SKU#:5081978e,Potassium Citrate
5037,SKU#:5081978e,Ascorbic Acid
669,SKU#:5081978e,High Oleic Safflower Oil (11%)
5973,SKU#:5081978e,Ferrous Sulfate
12525,SKU#:5081978e,Potassium Chloride
4101,SKU#:5081978e,Salt
6285,SKU#:5081978e,Ascorbyl Palmitate
12213,SKU#:5081978e,Cyanocobalamin
2541,SKU#:5081978e,Lutein
10965,SKU#:5081978e,Phylloquinone
5349,SKU#:5081978e,Choline Chloride
4725,SKU#:5081978e,L-Methionine
10396,SKU#:5082178,Folic Acid
6340,SKU#:5082178,m-Inositol
724,SKU#:5082178,Organic Sugar
13204,SKU#:5082178,Nucleotides (Cytidine 5’-Monophosphate
6964,SKU#:5082178,Zinc Sulfate
2908,SKU#:5082178,Lycopene
8524,SKU#:5082178,L-Carnitine
4468,SKU#:5082178,Ascorbyl Palmitate
3844,SKU#:5082178,Calcium Carbonate
12268,SKU#:5082178,Cyanocobalamin
5404,SKU#:5082178,Choline Chloride
1036,SKU#:5082178,Organic High Oleic Sunflower Oil
6028,SKU#:5082178,Taurine
8212,SKU#:5082178,Calcium Pantothenate
11956,SKU#:5082178,Vitamin D3
2284,SKU#:5082178,Beta-Carotene
12580,SKU#:5082178,Potassium Iodide
1660,SKU#:5082178,Organic Coconut Oil Less than 2% of: C Cohnii Oil
2596,SKU#:5082178,Lutein
10708,SKU#:5082178,Manganese Sulfate
13828,SKU#:5082178,Disodium Uridine 5’-Monophosphate
7900,SKU#:5082178,Niacinamide
3532,SKU#:5082178,Potassium Citrate
5716,SKU#:5082178,Choline Bitartrate
11644,SKU#:5082178,Sodium Selenate
14140,SKU#:5082178,Adenosine 5’-Monophosphate)
9148,SKU#:5082178,Cupric Sulfate
1348,SKU#:5082178,Organic Soy Oil
8836,SKU#:5082178,Vitamin A Palmitate
5092,SKU#:5082178,Salt
4780,SKU#:5082178,Ferrous Sulfate
9772,SKU#:5082178,Riboflavin
12892,SKU#:5082178,Potassium Hydroxide
100,SKU#:5082178,Organic Nonfat Milk
412,SKU#:5082178,Organic Maltodextrin
4156,SKU#:5082178,Ascorbic Acid
3220,SKU#:5082178,Fructooligosaccharides
11332,SKU#:5082178,Biotin
9460,SKU#:5082178,Thiamine Chloride Hydrochloride
1972,SKU#:5082178,M Alpina Oil
10084,SKU#:5082178,Pyridoxine Hydrochloride
11020,SKU#:5082178,Phylloquinone
6652,SKU#:5082178,Magnesium Chloride
7276,SKU#:5082178,Mixed Tocopherols
7588,SKU#:5082178,d-Alpha-Tocopheryl Acetate
13516,SKU#:5082178,Disodium Guanosine 5’-Monophosphate
10974,SKU#:5082178e,Phylloquinone
3486,SKU#:5082178e,Potassium Citrate
13158,SKU#:5082178e,Nucleotides (Cytidine 5’-Monophosphate
14094,SKU#:5082178e,Adenosine 5’-Monophosphate)
11598,SKU#:5082178e,Sodium Selenate
7854,SKU#:5082178e,Niacinamide
11286,SKU#:5082178e,Biotin
9726,SKU#:5082178e,Riboflavin
7542,SKU#:5082178e,d-Alpha-Tocopheryl Acetate
4734,SKU#:5082178e,Ferrous Sulfate
7230,SKU#:5082178e,Mixed Tocopherols
4110,SKU#:5082178e,Ascorbic Acid
1302,SKU#:5082178e,Organic Soy Oil
3798,SKU#:5082178e,Calcium Carbonate
678,SKU#:5082178e,Organic Sugar
11910,SKU#:5082178e,Vitamin D3
9102,SKU#:5082178e,Cupric Sulfate
2550,SKU#:5082178e,Lutein
13782,SKU#:5082178e,Disodium Uridine 5’-Monophosphate
12846,SKU#:5082178e,Potassium Hydroxide
5358,SKU#:5082178e,Choline Chloride
9414,SKU#:5082178e,Thiamine Chloride Hydrochloride
990,SKU#:5082178e,Organic High Oleic Sunflower Oil
6918,SKU#:5082178e,Zinc Sulfate
12222,SKU#:5082178e,Cyanocobalamin
12534,SKU#:5082178e,Potassium Iodide
366,SKU#:5082178e,Organic Maltodextrin
1614,SKU#:5082178e,Organic Coconut Oil Less than 2% of: C Cohnii Oil
2862,SKU#:5082178e,Lycopene
8790,SKU#:5082178e,Vitamin A Palmitate
54,SKU#:5082178e,Organic Nonfat Milk
6294,SKU#:5082178e,m-Inositol
4422,SKU#:5082178e,Ascorbyl Palmitate
3174,SKU#:5082178e,Fructooligosaccharides
1926,SKU#:5082178e,M Alpina Oil
5670,SKU#:5082178e,Choline Bitartrate
8478,SKU#:5082178e,L-Carnitine
5982,SKU#:5082178e,Taurine
13470,SKU#:5082178e,Disodium Guanosine 5’-Monophosphate
10662,SKU#:5082178e,Manganese Sulfate
8166,SKU#:5082178e,Calcium Pantothenate
10350,SKU#:5082178e,Folic Acid
5046,SKU#:5082178e,Salt
2238,SKU#:5082178e,Beta-Carotene
6606,SKU#:5082178e,Magnesium Chloride
10038,SKU#:5082178e,Pyridoxine Hydrochloride
12878,SKU#:5095976,Biotin
1958,SKU#:5095976,Coconut Oil
14750,SKU#:5095976,Cytidine 5’-Monophosphate
3518,SKU#:5095976,Lycopene
9446,SKU#:5095976,Niacinamide
7574,SKU#:5095976,Choline Bitartrate
10070,SKU#:5095976,Calcium Pantothenate
13502,SKU#:5095976,Vitamin D3
4766,SKU#:5095976,Potassium Phosphate
9134,SKU#:5095976,L-Carnitine
5078,SKU#:5095976,Calcium Carbonate
6638,SKU#:5095976,Ascorbyl Palmitate
86,SKU#:5095976,Corn Syrup
15374,SKU#:5095976,Disodium Uridine 5’-Monophosphate)
2270,SKU#:5095976,Galactooligosaccharides Less than 2% of: C Cohnii Oil
1334,SKU#:5095976,Sugar
398,SKU#:5095976,Modified Rice Starch
13814,SKU#:5095976,Cyanocobalamin
1022,SKU#:5095976,High Oleic Safflower Oil
8510,SKU#:5095976,Mixed Tocopherols
9758,SKU#:5095976,d-Alpha-Tocopheryl Acetate
10382,SKU#:5095976,Vitamin A Palmitate
7262,SKU#:5095976,Ferrous Sulfate
10694,SKU#:5095976,Cupric Sulfate
14438,SKU#:5095976,Nucleotides (Adenosine 5’-Monophosphate
7886,SKU#:5095976,Taurine
2894,SKU#:5095976,Beta-Carotene
5390,SKU#:5095976,Magnesium Chloride
6326,SKU#:5095976,L-Cystine Dihydrochloride
3206,SKU#:5095976,Lutein
8198,SKU#:5095976,m-Inositol
11630,SKU#:5095976,Pyridoxine Hydrochloride
15062,SKU#:5095976,Disodium Guanosine 5’-Monophosphate
11006,SKU#:5095976,Thiamine Chloride Hydrochloride
710,SKU#:5095976,Milk Protein Isolate
4142,SKU#:5095976,Potassium Citrate
1646,SKU#:5095976,Soy Oil
6950,SKU#:5095976,Salt
12254,SKU#:5095976,Potassium Iodide
3830,SKU#:5095976,Calcium Phosphate
6014,SKU#:5095976,Choline Chloride
13190,SKU#:5095976,Sodium Selenate
11318,SKU#:5095976,Riboflavin
4454,SKU#:5095976,Potassium Chloride
11942,SKU#:5095976,Folic Acid
8822,SKU#:5095976,Zinc Sulfate
2582,SKU#:5095976,M Alpina Oil
5702,SKU#:5095976,Ascorbic Acid
14126,SKU#:5095976,Potassium Hydroxide
12566,SKU#:5095976,Phylloquinone
351,SKU#:51002,Dextrose Anhydrous
39,SKU#:51002,Water
102,SKU#:51004,Water
414,SKU#:51004,Dextrose Anhydrous
1155,SKU#:51752,Salt
843,SKU#:51752,Potassium Citrate
3027,SKU#:51752,Red 40
1467,SKU#:51752,Sodium Citrate
2091,SKU#:51752,Sucralose
