,item_type,Flavours
278,SKU#:63282p12,Chocolate Almond Raisin
2132,SKU#:63282p12,Double Dark Chocolate
1514,SKU#:63282p12,Cinnamon Roll
896,SKU#:63282p12,Chocolate Mint
3986,SKU#:63282p12,Sweet & Salty Cashew Pretzel
1205,SKU#:63282p12,Chocolate Peanut Butter
3677,SKU#:63282p12,Chocolate Caramel Cluster
3059,SKU#:63282p12,Salted Caramel Brownie
2441,SKU#:63282p12,Fudge Graham
3368,SKU#:63282p12,Strawberry Yogurt
1823,SKU#:63282p12,Dark Chocolate Almond
2750,SKU#:63282p12,Oatmeal Chocolate Chunk
587,SKU#:63282p12,Chocolate Chip Cookie Dough
2780,SKU#:63299,Oatmeal Chocolate Chunk
1853,SKU#:63299,Dark Chocolate Almond
2162,SKU#:63299,Double Dark Chocolate
2471,SKU#:63299,Fudge Graham
4016,SKU#:63299,Sweet & Salty Cashew Pretzel
308,SKU#:63299,Chocolate Almond Raisin
1235,SKU#:63299,Chocolate Peanut Butter
1544,SKU#:63299,Cinnamon Roll
3707,SKU#:63299,Chocolate Caramel Cluster
3398,SKU#:63299,Strawberry Yogurt
3089,SKU#:63299,Salted Caramel Brownie
617,SKU#:63299,Chocolate Chip Cookie Dough
926,SKU#:63299,Chocolate Mint
2146,SKU#:63299p12,Double Dark Chocolate
3073,SKU#:63299p12,Salted Caramel Brownie
1528,SKU#:63299p12,Cinnamon Roll
2455,SKU#:63299p12,Fudge Graham
292,SKU#:63299p12,Chocolate Almond Raisin
4000,SKU#:63299p12,Sweet & Salty Cashew Pretzel
3382,SKU#:63299p12,Strawberry Yogurt
1219,SKU#:63299p12,Chocolate Peanut Butter
1837,SKU#:63299p12,Dark Chocolate Almond
910,SKU#:63299p12,Chocolate Mint
601,SKU#:63299p12,Chocolate Chip Cookie Dough
2764,SKU#:63299p12,Oatmeal Chocolate Chunk
3691,SKU#:63299p12,Chocolate Caramel Cluster
1842,SKU#:63304,Dark Chocolate Almond
297,SKU#:63304,Chocolate Almond Raisin
4005,SKU#:63304,Sweet & Salty Cashew Pretzel
915,SKU#:63304,Chocolate Mint
2769,SKU#:63304,Oatmeal Chocolate Chunk
1533,SKU#:63304,Cinnamon Roll
3387,SKU#:63304,Strawberry Yogurt
3078,SKU#:63304,Salted Caramel Brownie
1224,SKU#:63304,Chocolate Peanut Butter
2151,SKU#:63304,Double Dark Chocolate
2460,SKU#:63304,Fudge Graham
3696,SKU#:63304,Chocolate Caramel Cluster
606,SKU#:63304,Chocolate Chip Cookie Dough
598,SKU#:63304p12,Chocolate Chip Cookie Dough
3379,SKU#:63304p12,Strawberry Yogurt
1216,SKU#:63304p12,Chocolate Peanut Butter
907,SKU#:63304p12,Chocolate Mint
3070,SKU#:63304p12,Salted Caramel Brownie
2452,SKU#:63304p12,Fudge Graham
3688,SKU#:63304p12,Chocolate Caramel Cluster
2143,SKU#:63304p12,Double Dark Chocolate
1834,SKU#:63304p12,Dark Chocolate Almond
1525,SKU#:63304p12,Cinnamon Roll
289,SKU#:63304p12,Chocolate Almond Raisin
3997,SKU#:63304p12,Sweet & Salty Cashew Pretzel
2761,SKU#:63304p12,Oatmeal Chocolate Chunk
1831,SKU#:63305,nan
1230,SKU#:63309,Chocolate Peanut Butter
303,SKU#:63309,Chocolate Almond Raisin
2157,SKU#:63309,Double Dark Chocolate
3702,SKU#:63309,Chocolate Caramel Cluster
3393,SKU#:63309,Strawberry Yogurt
612,SKU#:63309,Chocolate Chip Cookie Dough
921,SKU#:63309,Chocolate Mint
3084,SKU#:63309,Salted Caramel Brownie
1539,SKU#:63309,Cinnamon Roll
2775,SKU#:63309,Oatmeal Chocolate Chunk
4011,SKU#:63309,Sweet & Salty Cashew Pretzel
2466,SKU#:63309,Fudge Graham
1848,SKU#:63309,Dark Chocolate Almond
2766,SKU#:63309p12,Oatmeal Chocolate Chunk
1839,SKU#:63309p12,Dark Chocolate Almond
912,SKU#:63309p12,Chocolate Mint
3693,SKU#:63309p12,Chocolate Caramel Cluster
4002,SKU#:63309p12,Sweet & Salty Cashew Pretzel
1530,SKU#:63309p12,Cinnamon Roll
294,SKU#:63309p12,Chocolate Almond Raisin
3384,SKU#:63309p12,Strawberry Yogurt
2457,SKU#:63309p12,Fudge Graham
603,SKU#:63309p12,Chocolate Chip Cookie Dough
3075,SKU#:63309p12,Salted Caramel Brownie
2148,SKU#:63309p12,Double Dark Chocolate
1221,SKU#:63309p12,Chocolate Peanut Butter
4006,SKU#:63505,Sweet & Salty Cashew Pretzel
1843,SKU#:63505,Dark Chocolate Almond
298,SKU#:63505,Chocolate Almond Raisin
607,SKU#:63505,Chocolate Chip Cookie Dough
2461,SKU#:63505,Fudge Graham
2152,SKU#:63505,Double Dark Chocolate
916,SKU#:63505,Chocolate Mint
3079,SKU#:63505,Salted Caramel Brownie
1225,SKU#:63505,Chocolate Peanut Butter
3388,SKU#:63505,Strawberry Yogurt
2770,SKU#:63505,Oatmeal Chocolate Chunk
1534,SKU#:63505,Cinnamon Roll
3697,SKU#:63505,Chocolate Caramel Cluster
3998,SKU#:63505p12,Sweet & Salty Cashew Pretzel
3380,SKU#:63505p12,Strawberry Yogurt
1835,SKU#:63505p12,Dark Chocolate Almond
1217,SKU#:63505p12,Chocolate Peanut Butter
908,SKU#:63505p12,Chocolate Mint
599,SKU#:63505p12,Chocolate Chip Cookie Dough
