item_id,flavour
66643,Berry Frost
66643,Orange Breeze
66643,None
66643,Chilled Cherry Pomegranate
66643,Iced Grape
66643,Kiwi Berry Mist
66643e,None
66643e,Berry Frost
66643e,Kiwi Berry Mist
66643e,Iced Grape
66643e,Chilled Cherry Pomegranate
66643e,Orange Breeze
66645,Orange Breeze
66645,None
66645,Chilled Cherry Pomegranate
66645,Kiwi Berry Mist
66645,Berry Frost
66645,Iced Grape
66645e,None
66645e,Berry Frost
66645e,Orange Breeze
66645e,Kiwi Berry Mist
66645e,Chilled Cherry Pomegranate
66645e,Iced Grape
66781,nan
66794,None
66794,Creamy Strawberry
66794,Homemade Vanilla
66794,Rich Chocolate
66794,Chocolate Caramel
66794,Classic Butter Pecan
66838,nan
66855,Chilled Cherry Pomegranate
66855,None
66855,Orange Breeze
66855,Iced Grape
66855,Berry Frost
66855,Kiwi Berry Mist
66855e,None
66855e,Chilled Cherry Pomegranate
66855e,Berry Frost
66855e,Iced Grape
66855e,Kiwi Berry Mist
66855e,Orange Breeze
66884,None
66884,Crispy Oats & Nuts
66884,Dark Chocolate Almond
66887,None
66887,Dark Chocolate Almond
66887,Crispy Oats & Nuts
66893,None
66893,French Vanilla
66893,Cafe Mocha
66893,Mixed Berry
66893,Milk Chocolate
66899,None
66899,Cafe Mocha
66899,French Vanilla
66899,Mixed Berry
66899,Milk Chocolate
66903,None
66903,Chocolate Caramel
66903,Oatmeal Raisin
66903,Chocolate Peanut
66905,None
66905,Chocolate Peanut
66905,Chocolate Caramel
66905,Oatmeal Raisin
66906,None
66906,Chocolate Peanut
66906,Oatmeal Raisin
66906,Chocolate Caramel
66910,None
66910,Vanilla
66910,Dark Chocolate
66910,Butter Pecan
66910,Coffee Latte
66910,Milk Chocolate
66910,Strawberry
66910,Banana Nut
66918,None
66918,Strawberry
66918,Vanilla
66918,Berry
66918,Chocolate
66918,"""Smores"""
66918,Banana
66923,nan
66923e,nan
66937,nan
66937e,nan
66939,nan
66939e,nan
66959,None
66959,Strawberry
66959,Chocolate
66959,Vanilla
66959e,None
66959e,Chocolate
66959e,Vanilla
66959e,Strawberry
66960,Chocolate
66960,Vanilla
66960,None
66960,Strawberry
66960e,None
66960e,Vanilla
66960e,Strawberry
66960e,Chocolate
66961,Chocolate
66961,None
66961,Vanilla
66961,Strawberry
66961e,None
66961e,Strawberry
66961e,Vanilla
66961e,Chocolate
66969,Strawberry Freeze
66969,Orange Breeze
66969,None
66969,Berry Frost
66969,Variety - Berry Frost & Strawberry Freeze
66969p6,None
66969p6,Strawberry Freeze
66969p6,Variety - Berry Frost & Strawberry Freeze
66969p6,Berry Frost
66969p6,Orange Breeze
66972,Orange Breeze
66972,Berry Frost
66972,Variety - Berry Frost & Strawberry Freeze
66972,None
66972,Strawberry Freeze
66972p6,Orange Breeze
66972p6,None
66972p6,Variety - Berry Frost & Strawberry Freeze
66972p6,Strawberry Freeze
66972p6,Berry Frost
67010,nan
67010e,nan
67012,nan
67067,None
67067,Creamy Strawberry
67067,Rich Chocolate
67067,Homemade Vanilla
67070,None
67070,Creamy Strawberry
67070,Homemade Vanilla
67070,Rich Chocolate
67148,nan
67151,nan
67151e,nan
